trimestre,CVEMET,zona_metro,acteco
2012-09-01,044,Nuevo Laredo,103928.935524675
2012-09-01,045,Tlaxcala,46803.4078517175
2012-09-01,046,Veracruz,145788.432070985
2012-09-01,047,Xalapa,77893.8991418338
2012-09-01,048,Poza Rica,54301.7724957231
2012-09-01,049,Orizaba,61543.6150202338
2012-09-01,050,Minatitlán,87188.8737328092
2012-09-01,051,Coatzacoalcos,119921.389057633
2012-09-01,052,Córdoba,23674.4832369811
2012-09-01,053,Mérida,170807.390673433
2012-09-01,054,Zacatecas,43478.3741523229
2012-09-01,055,Ensenada,62129.3083650574
2012-09-01,056,La Paz,53727.1584132787
2012-09-01,057,Los Cabos,38487.9894284913
2012-09-01,058,Campeche,258853.527859434
2012-09-01,059,Cd. del Carmen,251833.646060372
2012-09-01,060,Manzanillo,32356.0916766351
2012-09-01,061,Tapachula,21489.7437439754
2012-09-01,062,Durango,57341.1435009965
2012-09-01,063,Celaya,78442.1415281013
2012-09-01,064,Guanajuato,14778.2437558771
2012-09-01,065,Irapuato,61169.3543537263
2012-09-01,066,Salamanca,44677.7610773763
2012-09-01,067,Uruapan,29756.326788925
2012-09-01,068,San Juan del Río,39393.2007295405
2012-09-01,069,Los Mochis,46751.164921772
2012-09-01,070,Culiacán,92489.5545479035
2012-09-01,071,Mazatlán,65423.7866579612
2012-09-01,072,Cd. Obregón,49885.0868686972
2012-09-01,073,Hermosillo,126670.955600492
2012-09-01,074,Cárdenas,52062.5158514811
2012-09-01,075,Cd. Victoria,46471.7414058614
2012-09-01,076,Chetumal,20131.6553689346
2012-09-01,077,Chilpancingo,21045.1974873761
2012-09-01,078,Moroleón,8764.01993095044
2012-12-01,001,Aguascalientes,153536.574464341
2012-12-01,002,Tijuana,202262.388827216
2012-12-01,003,Mexicali,158104.182149814
2012-12-01,004,La Laguna,263739.938411993
2012-12-01,005,Saltillo,126717.164755118
2012-12-01,006,Monclova,64649.7697858725
2012-12-01,007,Piedras Negras,41863.6988847625
2012-12-01,008,Colima,46389.5968267805
2012-12-01,009,Tecomán,10361.1348876079
2012-12-01,010,Tuxtla,101033.464751016
2012-12-01,011,Juárez,246692.271326317
2012-12-01,012,Chihuahua,89059.0310705727
2012-12-01,013,CDMX,3654076.36267542
2012-12-01,014,León,195416.939233143
2012-12-01,015,San Francisco,20155.7435943892
2012-12-01,016,Acapulco,90431.8812390688
2012-12-01,017,Pachuca,69166.5109136828
2012-12-01,018,Tulancingo,22006.4313899308
2012-12-01,019,Tula,43702.7697171916
2012-12-01,020,Guadalajara,681944.147946899
2012-12-01,021,Puerto Vallarta,57550.2014551241
2012-12-01,022,Ocotlán,12843.210822363
2012-12-01,023,Toluca,174841.969080787
2012-12-01,024,Morelia,102314.737316825
2012-12-01,025,Zamora,21662.8758545328
2012-12-01,026,Pénjamo,25959.3855777532
2012-12-01,027,Cuernavaca,91595.4202804651
2012-12-01,028,Cuautla,50587.0484672152
2012-12-01,029,Tepic,54277.4061414296
2012-12-01,030,Monterrey,944545.541859732
2012-12-01,031,Oaxaca,76829.1438742498
2012-12-01,032,Tehuantepec,36441.9543018697
2012-12-01,033,Puebla,325422.768801978
2012-12-01,034,Tehuacán,25881.5770922365
2012-12-01,035,Querétaro,230286.3034988
2012-12-01,036,Cancún,145849.12701261
2012-12-01,037,San Luis,190178.376343542
2012-12-01,038,Cd. Fernández,8957.98231566606
2012-12-01,039,Guaymas,38186.3253819039
2012-12-01,040,Villahermosa,212660.845834523
2012-12-01,041,Tampico,93639.5222487661
2012-12-01,042,Reynosa,135954.622302048
2012-12-01,043,Matamoros,72288.0376352164
2012-12-01,044,Nuevo Laredo,103878.984830892
2012-12-01,045,Tlaxcala,48461.4314114434
2012-12-01,046,Veracruz,146638.190137481
2012-12-01,047,Xalapa,78824.0403461428
2012-12-01,048,Poza Rica,54844.9178598302
2012-12-01,049,Orizaba,62631.9374142518
2012-12-01,050,Minatitlán,88107.1898439611
2012-12-01,051,Coatzacoalcos,121469.229902851
2012-12-01,052,Córdoba,23950.9303455066
2012-12-01,053,Mérida,176821.643113366
2012-12-01,054,Zacatecas,45080.8508148644
2012-12-01,055,Ensenada,63532.2405688982
2012-12-01,056,La Paz,55743.7566726422
2012-12-01,057,Los Cabos,40217.9547412604
2012-12-01,058,Campeche,263724.20239835
2012-12-01,059,Cd. del Carmen,256838.669545385
2012-12-01,060,Manzanillo,33332.80478053
2012-12-01,061,Tapachula,21906.9481062933
2012-12-01,062,Durango,59955.3936603852
2012-12-01,063,Celaya,81141.3796720097
2012-12-01,064,Guanajuato,15267.3602035364
2012-12-01,065,Irapuato,63398.7363535283
2012-12-01,066,Salamanca,46409.5712737351
2012-12-01,067,Uruapan,30386.9864031689
2012-12-01,068,San Juan del Río,40612.9356168512
2012-12-01,069,Los Mochis,49936.1027490191
2012-12-01,070,Culiacán,101035.869498081
2012-12-01,071,Mazatlán,69592.1995562561
2012-12-01,072,Cd. Obregón,51402.1291516071
2012-12-01,073,Hermosillo,133370.632771402
2012-12-01,074,Cárdenas,53916.5183668858
2012-12-01,075,Cd. Victoria,46648.8652513748
2012-12-01,076,Chetumal,20874.4592438097
2012-12-01,077,Chilpancingo,21807.0180990617
2012-12-01,078,Moroleón,9301.45189721308
2013-03-01,001,Aguascalientes,151256.067258259
2013-03-01,002,Tijuana,195829.475314883
2013-03-01,003,Mexicali,150599.465663892
2013-03-01,004,La Laguna,256940.816223922
2013-03-01,005,Saltillo,125565.515221409
2013-03-01,006,Monclova,63422.6019408631
2013-03-01,007,Piedras Negras,41332.0776314462
2013-03-01,008,Colima,46003.2851015569
2013-03-01,009,Tecomán,10411.4192141721
2013-03-01,010,Tuxtla,98149.4938273986
2013-03-01,011,Juárez,236471.248795644
2013-03-01,012,Chihuahua,84367.401818694
2013-03-01,013,CDMX,3475291.70821369
2013-03-01,014,León,195695.333131861
2013-03-01,015,San Francisco,20078.0683275144
2013-03-01,016,Acapulco,88894.34670976
2013-03-01,017,Pachuca,64480.2498824132
2013-03-01,018,Tulancingo,20810.6682185113
2013-03-01,019,Tula,40583.722276551
2013-03-01,020,Guadalajara,658571.434323122
2013-03-01,021,Puerto Vallarta,58510.2548769134
2013-03-01,022,Ocotlán,12601.2728911425
2013-03-01,023,Toluca,168297.89668829
2013-03-01,024,Morelia,100992.128024255
2013-03-01,025,Zamora,21533.5224593345
2013-03-01,026,Pénjamo,25531.8944396854
2013-03-01,027,Cuernavaca,89153.8114181887
2013-03-01,028,Cuautla,49639.4273049484
2013-03-01,029,Tepic,53267.3862800311
2013-03-01,030,Monterrey,936013.04821632
2013-03-01,031,Oaxaca,73875.5802148017
2013-03-01,032,Tehuantepec,35618.108373267
2013-03-01,033,Puebla,317149.297058194
2013-03-01,034,Tehuacán,25159.0956118773
2013-03-01,035,Querétaro,229930.954987076
2013-03-01,036,Cancún,144793.003883714
2013-03-01,037,San Luis,186668.983140077
2013-03-01,038,Cd. Fernández,8661.56555154795
2013-03-01,039,Guaymas,37660.0153284735
2013-03-01,040,Villahermosa,207691.929147953
2013-03-01,041,Tampico,94837.3900513012
2013-03-01,042,Reynosa,139636.972736953
2013-03-01,043,Matamoros,73659.1286821783
2013-03-01,044,Nuevo Laredo,105249.837690237
2013-03-01,045,Tlaxcala,45339.4123272646
2013-03-01,046,Veracruz,144826.654224584
2013-03-01,047,Xalapa,77659.0045305874
2013-03-01,048,Poza Rica,54048.5971117496
2013-03-01,049,Orizaba,61973.1920713843
2013-03-01,050,Minatitlán,86860.6683775123
2013-03-01,051,Coatzacoalcos,120061.130606239
2013-03-01,052,Córdoba,23615.4001088558
2013-03-01,053,Mérida,173266.501641059
2013-03-01,054,Zacatecas,43279.4474631517
2013-03-01,055,Ensenada,60529.8561433795
2013-03-01,056,La Paz,53236.6883154241
2013-03-01,057,Los Cabos,40207.4074639541
2013-03-01,058,Campeche,252291.959505083
2013-03-01,059,Cd. del Carmen,244655.606129424
2013-03-01,060,Manzanillo,33132.9831509447
2013-03-01,061,Tapachula,21329.9105451766
2013-03-01,062,Durango,57158.3695712008
2013-03-01,063,Celaya,79451.0585627364
2013-03-01,064,Guanajuato,15052.1096655922
2013-03-01,065,Irapuato,63301.5979766912
2013-03-01,066,Salamanca,45586.5958624541
2013-03-01,067,Uruapan,29952.3408331223
2013-03-01,068,San Juan del Río,40631.133137206
2013-03-01,069,Los Mochis,46542.9974513174
2013-03-01,070,Culiacán,98218.4539220825
2013-03-01,071,Mazatlán,67528.5923881827
2013-03-01,072,Cd. Obregón,49415.3410795417
2013-03-01,073,Hermosillo,128660.180665611
2013-03-01,074,Cárdenas,52634.6554610306
2013-03-01,075,Cd. Victoria,47708.2879927925
